taxroll_number,effective_build_year,net_area,basement_finished,has_fireplace,assessed_value,fully_complete,lot_size,walkout_basement,air_conditioning,site_coverage,lon,lat,valuation_group_residential.south
10088980,2008,219.6,0,1,628000,1,736.621,0,0,0.19,-113.5649641,53.43820777,1
10086832,2011,298,1,1,825500,1,632.955,0,0,0.37,-113.5661129,53.43805919,1
10088981,2008,275.7,1,1,838000,1,740.94,0,0,0.25,-113.5651908,53.43834339,1
10086831,2011,269.7,0,1,771500,1,693.977,0,0,0.27,-113.5659935,53.43823848,1
10123558,2009,255.3,0,1,727500,1,792.084,0,0,0.21,-113.5658025,53.43836583,1
10067289,2011,298.9,1,1,1093500,1,829.846,0,0,0.29,-113.5635291,53.4376117,1
10067290,2011,337,1,1,1173000,1,1280.991,0,0,0.18,-113.5634129,53.43792354,1
10067296,2010,281.9,1,1,1223000,1,1730.945,0,0,0.17,-113.5645036,53.43732321,1
10067291,2009,376.4,1,1,1156000,1,809.225,0,0,0.32,-113.5637579,53.43798771,1
10067295,2010,326.1,0,1,1023500,1,765.314,0,0,0.28,-113.5646183,53.43758647,1
10067292,2009,233.5,0,1,760500,1,754.939,0,0,0.25,-113.5641091,53.43802493,1
10067294,2009,301.4,0,1,913000,1,743.701,0,0,0.26,-113.5646157,53.43787851,1
10067293,2013,301.7,1,1,1093500,1,1173.979,0,0,0.19,-113.5644549,53.4380554,1
10088971,2009,359.7,0,1,1106000,1,738.496,0,0,0.32,-113.5652161,53.43687874,1
10067303,2009,322.9,0,1,1012000,1,653.52,0,0,0.34,-113.5649342,53.43687772,1
10067302,2010,277.6,1,1,1002000,1,685.938,0,0,0.31,-113.5646507,53.43689465,1
10067301,2010,285.8,1,1,1010500,1,680.821,0,0,0.31,-113.5643976,53.43692518,1
10067300,2010,270.2,0,1,940500,1,682.107,0,0,0.28,-113.5641459,53.4369647,1
10067266,2012,480.2,1,1,1900500,1,1213.168,0,0,0.29,-113.5636614,53.43648442,1
10067299,2010,368.2,1,1,1333500,1,696.983,0,0,0.37,-113.5638987,53.43700649,1
10067267,2009,274.6,1,1,865500,1,823.553,0,0,0.26,-113.5634273,53.43659814,1
10067298,2010,368.6,1,1,1168500,1,775.152,0,0,0.33,-113.563707,53.43716304,1
10067268,2010,360,1,1,1162500,1,879.201,0,0,0.31,-113.5631648,53.43671849,1
10067288,2010,291.9,1,1,1047500,1,788.847,0,1,0.27,-113.5632207,53.43738367,1
10067232,2010,349.5,1,1,1173000,1,940.551,0,1,0.3,-113.5626749,53.43693911,1
10067287,2008,270.6,0,1,796000,1,698.165,0,0,0.27,-113.5630615,53.43751788,1
10067233,2007,372.1,1,1,1621500,1,835.315,0,1,0.33,-113.5624652,53.43713828,1
10067286,2012,339.1,1,1,1124500,1,650.997,0,1,0.37,-113.5629923,53.43767489,1
10067234,2007,299.5,1,1,1056500,1,825.751,0,0,0.26,-113.5623237,53.43729502,1
10067285,2008,269.1,0,1,785000,1,651.663,0,0,0.28,-113.5628969,53.43781832,1
10067235,2007,317.1,1,1,1039000,1,795.24,0,0,0.27,-113.5622185,53.43746987,1
10067284,2011,350,1,1,1095500,1,651.638,0,0,0.38,-113.5628013,53.43795725,1
10067236,2007,296.3,1,1,1066500,1,776.57,0,1,0.28,-113.5621018,53.43764017,1
10067283,2010,265.3,1,1,1040500,1,931.935,0,0,0.23,-113.5627229,53.43816589,1
